orderItemID;prediction
1;1
2;1
3;1
4;1
5;0
6;0
7;1
8;1
9;1
10;0
11;0
12;0
13;0
14;1
15;1
16;0
17;0
18;0
19;1
20;0
21;0
22;1
23;1
24;0
25;1
26;1
27;0
28;1
29;1
30;1
31;0
32;1
33;0
34;1
35;0
36;0
37;0
38;0
39;1
40;0
41;1
42;0
43;1
44;0
45;0
46;1
47;0
48;0
49;0
50;0
51;0
52;0
53;1
54;0
55;0
56;1
57;0
58;1
59;1
60;1
61;0
62;1
63;0
64;1
65;1
66;1
67;1
68;1
69;1
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;0
89;0
90;0
91;1
92;1
93;0
94;0
95;0
96;1
97;1
98;1
99;1
100;0
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;0
110;1
111;0
112;0
113;0
114;1
115;0
116;0
117;1
118;1
119;0
120;0
121;1
122;1
123;1
124;0
125;0
126;1
127;1
128;0
129;0
130;1
131;1
132;1
133;0
134;0
135;1
136;1
137;1
138;1
139;0
140;1
141;1
142;0
143;0
144;1
145;1
146;0
147;1
148;1
149;1
150;1
151;1
152;0
153;0
154;0
155;0
156;1
157;1
158;1
159;1
160;1
161;0
162;1
163;0
164;0
165;1
166;0
167;0
168;0
169;0
170;1
171;0
172;0
173;1
174;1
175;1
176;0
177;0
178;0
179;0
180;0
181;1
182;1
183;1
184;1
185;1
186;0
187;1
188;1
189;1
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;1
206;0
207;1
208;1
209;1
210;1
211;0
212;0
213;1
214;1
215;0
216;0
217;0
218;0
219;0
220;1
221;0
222;0
223;0
224;0
225;0
226;1
227;1
228;1
229;1
230;0
231;1
232;1
233;1
234;0
235;0
236;1
237;0
238;1
239;0
240;0
241;1
242;0
243;0
244;0
245;0
246;0
247;0
248;1
249;1
250;1
251;0
252;1
253;0
254;0
255;0
256;1
257;1
258;0
259;1
260;1
261;1
262;0
263;1
264;0
265;0
266;0
267;0
268;1
269;1
270;0
271;1
272;1
273;1
274;0
275;1
276;1
277;1
278;0
279;0
280;1
281;1
282;1
283;1
284;1
285;0
286;1
287;1
288;1
289;0
290;0
291;0
292;0
293;1
294;0
295;0
296;0
297;0
298;1
299;1
300;1
301;1
302;0
303;1
304;1
305;1
306;1
307;1
308;1
309;1
310;1
311;1
312;1
313;1
314;1
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;1
323;0
324;0
325;0
326;1
327;0
328;1
329;1
330;0
331;1
332;1
333;1
334;0
335;0
336;1
337;0
338;0
339;1
340;0
341;0
342;0
343;0
344;1
345;1
346;0
347;1
348;0
349;0
350;1
351;1
352;1
353;1
354;1
355;1
356;1
357;1
358;1
359;0
360;0
361;0
362;0
363;0
364;0
365;1
366;0
367;1
368;1
369;1
370;0
371;0
372;0
373;1
374;0
375;1
376;1
377;0
378;1
379;0
380;1
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;1
391;1
392;1
393;0
394;0
395;0
396;0
397;0
398;1
399;1
400;1
401;0
402;1
403;0
404;0
405;0
406;1
407;0
408;0
409;1
410;1
411;1
412;0
413;0
414;1
415;0
416;1
417;1
418;1
419;0
420;1
421;0
422;0
423;0
424;0
425;1
426;1
427;0
428;1
429;1
430;1
431;1
432;1
433;0
434;1
435;0
436;0
437;0
438;0
439;1
440;1
441;1
442;1
443;1
444;1
445;1
446;1
447;1
448;1
449;0
450;1
451;0
452;1
453;1
454;1
455;1
456;1
457;1
458;0
459;0
460;1
461;0
462;0
463;0
464;0
465;1
466;0
467;0
468;1
469;1
470;0
471;0
472;0
473;1
474;0
475;1
476;1
477;1
478;0
479;1
480;0
481;1
482;0
483;0
484;0
485;1
486;0
487;0
488;0
489;0
490;1
491;0
492;1
493;1
494;0
495;0
496;0
497;1
498;1
499;1
500;1
501;1
502;1
503;1
504;1
505;1
506;0
507;0
508;0
509;0
510;0
511;1
512;1
513;1
514;1
515;1
516;1
517;1
518;0
519;1
520;0
521;0
522;1
523;1
524;0
525;1
526;0
527;1
528;0
529;0
530;0
531;1
532;1
533;0
534;0
535;1
536;0
537;1
538;0
539;1
540;0
541;1
542;1
543;0
544;0
545;0
546;0
547;0
548;1
549;1
550;1
551;0
552;1
553;0
554;1
555;1
556;1
557;0
558;1
559;1
560;0
561;0
562;1
563;1
564;1
565;1
566;1
567;1
568;1
569;0
570;0
571;1
572;1
573;0
574;1
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;1
584;0
585;1
586;1
587;1
588;0
589;1
590;0
591;0
592;0
593;0
594;0
595;1
596;1
597;1
598;0
599;1
600;0
